Topic 1_1,Topic 1_2,Topic 1_3,Topic 1_4,Topic 1_5,Topic 1_6,Topic 1_7,Topic 1_8,Topic 1_9 ,Topic 2_1,Topic 2_2,Topic 2_3,Topic 2_4,Topic 2_5,Topic 2_6,Topic 2_7,Topic 2_8,Topic 3_1,Topic 3_2,Topic 3_3,Topic 3_4,Topic 3_5,Topic 3_6,Topic 3_7,Topic 3_8,Topic 3_9,Topic 4_1,Topic 4_2,Topic 4_3,Topic 4_4,Topic 4_5,Topic 4_6,Topic 4_7,Topic 4_8,Topic 4_9,Topic 4_10,Topic 4_11,Topic 4_12
remdesivir,state,oxygen,vaccin,use,live,oxygen,oxygen,tocilizumab,like,state,gas,covid,gas,inject,covid,oxygen,inject,gas,peopl,compani,black,now,oxygen,black,covid,health,covid,day,price,peopl,food,rise,due,food,year,peopl,now
india,save,market,can,covid,hiv,bed,india,peopl,can,market,price,black,loser,lethal,medicin,bed,lethal,sever,save,pharma,fungus,covid,hospit,fungus,medicin,pharmaci,test,need,suppli,buy,can,use,increas,creat,mani,water,like
vial,oxygen,black,india,remdesivir,say,hospit,countri,make,just,need,border,patient,caus,death,manufactur,hospit,fire,suppli,time,resolv,covid,hospit,vaccin,case,state,hospit,driver,one,canada,face,peopl,wait,life,medic,vaccin,die,manufactur
countri,life,life,compani,patient,kenya,die,covid,vaccin,know,remdesivir,now,fungus,let,use,india,vaccin,squad,price,life,soon,india,death,bed,rise,govt,care,new,patient,govern,inevit,call,huge,live,cuba,covid,govt,mean
delhi,bed,covid,get,need,anti,peopl,case,alloc,say,get,biden,amphotericin,war,hous,suppli,peopl,death,test,market,approv,treat,huge,india,india,high,medic,home,peopl,caus,medicin,care,emerg,massiv,week,fda,delhi,problem
covid,covid,hoard,manufactur,pleas,due,covid,wave,don,medic,govt,caus,treat,biden,make,product,covid,use,pharmaci,need,produc,use,right,health,amphotericin,court,facil,medic,use,access,wave,don,infect,hous,also,make,hospit,punjab
import,day,save,suppli,treatment,kenyan,health,hospit,state,happen,govern,traffick,face,can,can,high,india,execut,can,patient,mucormycosi,mucormycosi,can,system,concern,delhi,get,read,come,good,line,get,ygn,around,free,lead,issu,thank
govern,case,govt,pharma,can,aid,due,vaccin,one,work,distribut,human,use,crimin,due,medic,die,problem,get,oxygen,india,amphotericin,oxygen,medic,covid,hoard,lack,oxygen,doctor,import,whatshappeninginmyanmar,avail,can,crime,healthcar,now,chang,well
today,minist,remdesivir,produc,treat,state,like,death,think,back,peopl,inflat,treatment,start,kill,said,save,make,drugshortag,due,got,face,look,antivir,news,suppli,pharmacist,pandem,dose,medicin,flu,buy,cost,famili,know,patient,colleg,distribut
start,posit,suppli,product,home,retrovir,save,suppli,key,everi,help,job,case,tax,peopl,stock,life,inmat,money,help,new,infect,state,collaps,mucormycosi,procur,equip,report,make,polici,season,need,give,move,suppli,time,high,suppli
eas,last,creat,ask,lead,arv,life,now,doctor,give,suppli,like,now,middl,don,delhi,one,get,need,also,amphotericin,fungal,bodi,get,gandhi,requir,forc,treatment,may,take,household,polic,human,now,money,mayb,like,bjp
vital,yogi,avail,export,price,danger,system,second,list,good,also,pipelin,pleas,rais,fire,hoard,health,law,biden,live,within,case,demand,peopl,anti,stock,glove,white,prescrib,continu,myanmarcovidso,protest,price,countri,store,just,condit,covid
first,adityanath,hospit,indian,critic,donat,get,face,also,time,ask,trump,medicin,east,live,price,wave,south,increas,remdesivir,day,patient,must,unabl,action,countri,subsid,alcohol,time,control,price,risk,corrupt,generic,work,order,even,didn
high,gone,inject,fda,avail,govern,medic,medic,blame,even,black,stop,mucormycosi,joe,need,materi,due,carolina,inflat,still,cure,anti,anti,care,sonia,politician,uhurulegaci,black,cuba,job,julycoup,show,face,mass,countri,patent,manag,especi
consign,chief,india,face,like,amid,indian,massiv,amid,media,due,illeg,anti,million,year,court,mani,electr,job,get,amphotericinb,rare,new,die,patient,avail,big,half,earli,like,even,bring,insur,see,cuban,user,violenc,fail
court,fresh,essenti,now,care,disput,crisi,bed,even,read,like,peopl,day,stop,amid,global,leader,kill,pandem,one,addit,blackfungus,request,govern,among,medic,continu,industri,everi,plan,covid,canada,practic,take,find,address,year,govern
centr,say,peopl,materi,demand,unit,help,essenti,may,food,now,come,infect,thousand,forc,industri,care,need,border,work,exist,state,due,modi,report,patient,cost,never,given,prescript,higher,case,chain,urg,lie,effort,action,last
reach,govern,administr,approv,realli,peopl,icu,also,pleas,gas,control,right,report,american,problem,order,govern,state,chain,pleas,fungus,treatment,goi,indian,take,govern,district,remdesivir,global,benefit,outbreak,doesnt,check,communiti,one,experienc,america,men
said,hospit,buy,just,sir,agenc,test,equip,goi,mani,court,driver,acut,els,squad,pharmaci,medic,row,illeg,can,three,antifung,ago,modifailedindia,immedi,said,lebanon,truck,long,centr,serious,now,essenti,differ,staff,life,avail,never
antivir,year,bed,run,time,patient,death,foreign,sure,test,covid,get,suppli,illeg,still,vaccin,say,year,part,day,black,add,corona,face,maharashtra,ask,ministri,vaccin,much,cut,yangon,problem,individu,dollar,concern,overdos,construct,place
anti,lie,artifici,generic,due,run,mani,major,know,creat,direct,israel,demand,america,think,expect,still,chair,result,doctor,minist,increas,level,ambul,grappl,centr,public,approv,polit,dont,third,push,kill,dumb,cure,plan,dehi,surviv
viral,news,due,help,medicin,short,patient,start,medicin,current,hospit,much,liposom,protect,work,larg,acut,choos,war,mani,blackfungus,diseas,prevent,govt,panic,respons,purchas,arriv,say,drugshortag,today,stock,let,food,doctor,put,delhiit,way
govt,claim,modi,month,prescrib,countri,can,year,play,dealer,time,day,india,corrupt,back,polit,crucial,sinc,world,accept,union,health,also,home,bbc,alreadi,suffer,cancer,suppos,look,emerg,think,month,gobshit,essenti,report,develop,busi
medic,live,noth,pandem,control,risk,govern,surg,give,dose,tri,hack,key,demo,chair,procur,modi,amid,year,bed,chemic,woe,immedi,lot,coronavirus,distribut,turkana,cannabi,two,pay,announc,america,ongo,guy,give,thing,due,congress
sever,said,now,pharmaceut,situat,report,govt,nation,let,make,creat,money,sir,rat,gov,quantiti,death,back,cost,govern,product,amid,improv,park,fungal,like,counti,centr,vaccin,protect,citi,american,presid,health,import,veterinari,egypt,dinsight
face,medic,actual,stop,good,health,ventil,modi,avail,prescript,everyon,open,avail,ton,homeless,busi,now,due,deal,now,mandaviya,said,mani,feel,via,issu,doctor,challeng,walk,proven,fighter,bag,traffick,help,includ,area,etc,els
address,time,kashmir,day,hospit,help,critic,situat,busi,crisi,lead,presid,inject,crazi,new,compani,patient,peopl,pipelin,suppli,mansukh,complic,counti,lifesav,blackfungus,manag,ever,clearinghous,cancer,save,milk,border,unrest,insulin,med,crime,fed,energi
deliv,accord,failur,global,inject,save,media,accept,caus,doctor,see,war,need,wall,remdesivir,gambhir,second,think,anoth,avail,vial,report,current,second,modi,polit,extra,damag,chang,state,milkteaalli,cant,abus,kid,much,due,gerd,enforc
receiv,citi,like,via,may,arvsfact,medicin,donat,figur,found,vaccin,loss,new,cost,carolina,health,countri,alway,china,like,mos,centr,expert,modiagainstn,state,prescrib,fuel,deriv,full,urgent,put,citi,advic,larg,pharmaceut,explain,healthcar,five
show,econom,time,raw,suppli,caus,number,pandem,interim,hope,call,power,live,counti,elect,impact,equip,don,crisi,hospit,govt,countri,just,abandon,updat,question,gone,dismiss,least,abl,raw,collect,ahead,lockdown,state,fun,info,great